,id,dt,t,side,price,amount,cost
0,4315142356,2024-12-21 01:19:24.899000+00:00,1734743964899,0,97445.12,0.00102,99.3940224
1,4315142357,2024-12-21 01:19:25.760000+00:00,1734743965760,1,97445.11,0.01004,978.3489044
2,4315142358,2024-12-21 01:19:25.975000+00:00,1734743965975,0,97445.12,0.0084,818.539008
3,4315142359,2024-12-21 01:19:26.428000+00:00,1734743966428,0,97445.12,0.00013,12.6678656
4,4315142360,2024-12-21 01:19:26.497000+00:00,1734743966497,0,97445.12,0.00102,99.3940224
5,4315142361,2024-12-21 01:19:26.920000+00:00,1734743966920,0,97445.12,0.00151,147.1421312
6,4315142362,2024-12-21 01:19:27.409000+00:00,1734743967409,1,97445.11,7e-05,6.8211577
7,4315142363,2024-12-21 01:19:27.555000+00:00,1734743967555,1,97445.11,0.00099,96.4706589
8,4315142364,2024-12-21 01:19:27.636000+00:00,1734743967636,0,97445.12,0.01427,1390.5418624
9,4315142365,2024-12-21 01:19:27.806000+00:00,1734743967806,0,97445.12,0.00035,34.105792
10,4315142366,2024-12-21 01:19:27.914000+00:00,1734743967914,0,97445.12,0.00311,303.0543232
11,4315142367,2024-12-21 01:19:28.302000+00:00,1734743968302,1,97445.11,0.01057,1029.9948127
12,4315142368,2024-12-21 01:19:28.369000+00:00,1734743968369,1,97445.11,0.00083,80.8794413
13,4315142369,2024-12-21 01:19:28.534000+00:00,1734743968534,0,97445.12,0.00094,91.5984128
14,4315142370,2024-12-21 01:19:28.805000+00:00,1734743968805,1,97445.11,0.13471,13126.8307681
15,4315142371,2024-12-21 01:19:28.806000+00:00,1734743968806,0,97445.12,0.00925,901.36736
16,4315142372,2024-12-21 01:19:28.806000+00:00,1734743968806,0,97445.12,0.02,1948.9024
17,4315142373,2024-12-21 01:19:28.806000+00:00,1734743968806,0,97445.12,0.08,7795.6096
18,4315142374,2024-12-21 01:19:28.806000+00:00,1734743968806,0,97445.12,0.00025,24.36128
19,4315142375,2024-12-21 01:19:28.806000+00:00,1734743968806,0,97445.12,0.0001,9.744512
20,4315142376,2024-12-21 01:19:28.806000+00:00,1734743968806,0,97445.12,0.03989,3887.0858368
21,4315142377,2024-12-21 01:19:28.806000+00:00,1734743968806,0,97445.12,0.0001,9.744512
22,4315142378,2024-12-21 01:19:28.832000+00:00,1734743968832,1,97445.41,0.00567,552.5154747
23,4315142379,2024-12-21 01:19:28.832000+00:00,1734743968832,1,97445.41,0.001,97.44541
24,4315142380,2024-12-21 01:19:28.832000+00:00,1734743968832,1,97445.41,0.04977,4849.8580557
25,4315142381,2024-12-21 01:19:28.832000+00:00,1734743968832,1,97445.41,0.1,9744.541
26,4315142382,2024-12-21 01:19:28.832000+00:00,1734743968832,1,97445.41,0.03135,3054.9136035
27,4315142383,2024-12-21 01:19:29.005000+00:00,1734743969005,0,97445.42,6e-05,5.8467252
28,4315142384,2024-12-21 01:19:29.005000+00:00,1734743969005,0,97445.42,0.0001,9.744542
29,4315142385,2024-12-21 01:19:29.005000+00:00,1734743969005,0,97445.42,0.00086,83.8030612
30,4315142386,2024-12-21 01:19:29.350000+00:00,1734743969350,1,97445.41,0.01003,977.3774623
31,4315142387,2024-12-21 01:19:29.972000+00:00,1734743969972,0,97445.42,0.01007,981.2753794
32,4315142388,2024-12-21 01:19:30.096000+00:00,1734743970096,1,97445.41,0.01601,1560.1010141
33,4315142389,2024-12-21 01:19:30.164000+00:00,1734743970164,0,97445.42,0.00014,13.6423588
34,4315142390,2024-12-21 01:19:30.491000+00:00,1734743970491,1,97445.41,0.02336,2276.3247776
